ordinal,species,in6,in5,in4,in3,in2,in1,total,year,site,period,sjy,dd,dd_sum,cdd_sum,cdd_sumfall,DI,per,elev,siteyear,Tmean,cdd_seas,Cdd_siteave,Cdd_july_siteave,spsiteyear,doy_adult,gdd_adult,elevation,elev.lab
210,Aeropedellus clavatus,3,0,0,0,0,0,3,1958,A1,initial,A1_210_1958,11.875,11.875,470.656265022126,470.656265022126,6,1,2195,A11958,11.913614130434782,761.4365031104185,327.2782187321655,96.30260836721507,A11958Aeropedellus clavatus,NA,NA,2195,2195m
143,Aeropedellus clavatus,0,0,0,2,3,2,7,2007,A1,resurvey,A1_143_2007,2.95844734621394,2.95844734621394,96.6657136808156,96.6657136808156,2,2,2195,A12007,13.791929347826088,871.2483372145462,482.5113304818944,171.84533946465416,A12007Aeropedellus clavatus,183,246.6657136808156,2195,2195m
156,Aeropedellus clavatus,1,0,1,0,1,0,3,2007,A1,resurvey,A1_156_2007,0.27495036004336,0.27495036004336,127.543712450227,127.543712450227,4,2,2195,A12007,13.791929347826088,871.2483372145462,482.5113304818944,171.84533946465416,A12007Aeropedellus clavatus,183,246.6657136808156,2195,2195m
161,Aeropedellus clavatus,1,0,1,2,0,0,4,2007,A1,resurvey,A1_161_2007,1.50827595605721,1.50827595605721,148.527073589344,148.527073589344,4,2,2195,A12007,13.791929347826088,871.2483372145462,482.5113304818944,171.84533946465416,A12007Aeropedellus clavatus,183,246.6657136808156,2195,2195m
189,Aeropedellus clavatus,7,0,0,0,0,0,7,2007,A1,resurvey,A1_189_2007,6.85,6.85,381.089600352803,381.089600352803,6,2,2195,A12007,13.791929347826088,871.2483372145462,482.5113304818944,171.84533946465416,A12007Aeropedellus clavatus,183,246.6657136808156,2195,2195m
204,Aeropedellus clavatus,3,0,0,0,0,0,3,2007,A1,resurvey,A1_204_2007,11.85,11.85,531.546526837761,531.546526837761,6,2,2195,A12007,13.791929347826088,871.2483372145462,482.5113304818944,171.84533946465416,A12007Aeropedellus clavatus,183,246.6657136808156,2195,2195m
122,Aeropedellus clavatus,0,0,0,0,0,4,4,2008,A1,resurvey,A1_122_2008,0,0,30.4818151854257,30.4818151854257,1,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
129,Aeropedellus clavatus,0,0,0,1,4,6,11,2008,A1,resurvey,A1_129_2008,0.926608360350984,0.926608360350984,37.5178863328664,37.5178863328664,1.5454545454545454,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
139,Aeropedellus clavatus,0,0,0,2,3,0,5,2008,A1,resurvey,A1_139_2008,3.63596945380167,3.63596945380167,52.3321631866221,52.3321631866221,2.4,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
149,Aeropedellus clavatus,0,0,1,5,1,0,7,2008,A1,resurvey,A1_149_2008,1.22753501329511,1.22753501329511,70.7252051528422,70.7252051528422,3,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
